Date,Tweet Id
2020-02-02,1224026968678633472
2020-02-12,1227655244844326914
2020-03-01,1233938752545918976
2020-03-01,1233938752545918976
2020-03-04,1235138001346457600
2020-03-09,1236862836556652545
2020-03-12,1238173408371892229
2020-03-12,1238000347039150082
2020-03-18,1240115175430262785
2020-03-19,1240678961010692097
2020-03-19,1240560592487940096
2020-03-20,1241012760718303234
2020-03-21,1241257054184013825
2020-03-22,1241785774766514178
2020-03-23,1242162790950985736
2020-03-23,1242106576212762625
2020-03-27,1243544692740022275
2020-03-28,1243909495895592960
2020-04-01,1245359283577016320
2020-04-02,1245858520601260035
2020-04-07,1247551270061330433
2020-04-07,1247358814413901824
2020-04-09,1248263991899668481
2020-04-14,1250094492675424259
2020-04-16,1250823193197150208
2020-04-18,1251404299298648065
2020-04-21,1252642252058513408
2020-04-22,1252765339726856193
2020-04-24,1253726215078281216
2020-04-28,1255106061964644354
2020-05-01,1256015152945737728
2020-05-04,1257099613212938240
2020-05-05,1257715203979919360
2020-05-07,1258378211479760898
2020-05-16,1261552142000762880
2020-05-22,1263764184124325888
2020-05-23,1264204577823490049
2020-06-06,1269146006412722176
2020-06-07,1269681219790307329
2020-06-23,1275321844091031552
2020-06-24,1275628628487868421
2020-06-24,1275620284981284865
2020-06-27,1276787301155254272
2020-07-01,1278364944174628864
2020-07-03,1279142826035613696
2020-07-08,1280846862522765319
2020-07-11,1281854212591300608
2020-07-14,1282958675167055873
2020-07-18,1284433698507624449
2020-07-19,1284912719158812673
2020-07-20,1285228230954319873
2020-07-20,1285130249492221953
2020-07-21,1285471276472172545
2020-07-24,1286608372012376065
2020-07-27,1287640214794534912
2020-08-04,1290562819419758593
2020-08-04,1290500709545369600
2020-08-09,1292443791350259713
2020-08-13,1293820327156473856
2020-08-17,1295380529437646850
2020-08-27,1298867896530227200
2020-08-29,1299640557325737985
2020-08-30,1300024786232500236
2020-08-30,1300012276095819776
2020-09-05,1302247195308101633
2020-09-07,1303056071750225923
2020-09-08,1303214014470729729
2020-09-15,1305936194283372547
2020-09-15,1305788538567503872
2020-09-19,1307219980224811016
2020-09-21,1307961955437608960
2020-09-23,1308824204113043459
2020-09-26,1309897581611421696
2020-10-02,1312058376470159361
2020-10-05,1313032750778245121
2020-10-05,1313013632721190912
2020-10-06,1313404786184781826
2020-10-06,1313404786184781826
2020-10-06,1313402885997293568
2020-10-06,1313362494124109824
2020-10-13,1316000736879181826
2020-10-13,1316000578670125056
2020-10-13,1316000189124091904
2020-10-14,1316415612801908736
2020-10-15,1316663995890307072
2020-10-29,1321676045112741888
2020-11-03,1323605962389938177
2020-11-03,1323547878191759361
2020-11-04,1323977080581705728
2020-11-04,1323969040986103814
2020-11-04,1323957450702233601
2020-11-04,1323957219461922817
2020-11-04,1323957176608673795
2020-11-04,1323957125534670848
2020-11-04,1323957091099357184
2020-11-04,1323956991979671554
2020-11-04,1323956947922657280
2020-11-04,1323956882487320584
2020-11-05,1324448291233370113
2020-11-07,1324977244146720768
2020-11-09,1325860504255025153
2020-11-09,1325798898057814017
2020-11-09,1325781091630936064
2020-11-10,1326061793031172096
2020-11-10,1325962847243948032
2020-11-11,1326569493808766977
2020-11-15,1327983775528128514
2020-11-16,1328347101227589632
2020-11-16,1328344084579299337
2020-11-16,1328318184907296768
2020-11-18,1329211635987169281
2020-11-19,1329438745305739268
2020-11-21,1330029111746711554
2020-11-23,1330990524245942274
2020-11-24,1331114897858564096
2020-11-26,1331846637761814529
2020-11-29,1333101581282267136
2020-11-30,1333444442355871744
2020-11-30,1333384528262537222
2020-11-30,1333266431828484102
2020-12-01,1333750881012092928
2020-12-02,1334093441853235201
2020-12-03,1334505464839671808
2020-12-03,1334447381513973760
2020-12-08,1336231820178956288
2020-12-08,1336225657995612164
2020-12-09,1336655838866444288
2020-12-10,1336995906982436864
2020-12-10,1336995393029234688
2020-12-10,1336995309814157313
2020-12-10,1336981636446113792
2020-12-10,1336950723398021120
2020-12-10,1336888276490260480
2020-12-11,1337424946025418755
2020-12-11,1337300992220688386
2020-12-12,1337736933653565440
2020-12-12,1337629201759948803
2020-12-16,1339135511957565442
2020-12-16,1339119546972639233
2020-12-17,1339628105833582597
2020-12-17,1339604669446950912
2020-12-18,1340025356422701058
2020-12-19,1340272835558830081
2020-12-19,1340270244779208706
2020-12-21,1340979256998899715
